Operator name,cluster,Sub-cluster,line,Because,alternative,Signage,Station arrangements,Station number,Station name,Activity at the station,Name of first download station,Distance from previous station,Distance from departure station,Travel time from departure station,Long,Lat,City,Street,No. Home
Superbus,The valleys,Yokneam,190,1,0,190,13,53432,The Tze'elim / Yitzhak Rabin Boulevard,Collect and download,The Tselim / Arava,340,3619,8.133333206,35.090424,32.643901,Yokneam Illith,The Tselim,89
Superbus,The valleys,Yokneam,190,1,0,190,14,53285,The Tselim / Arava,Collect and download,The Tselim / Dekel,256,3875,8.633333206,35.090095,32.646103,Yokneam Illith,The Tselim,79
Superbus,The valleys,Yokneam,190,1,0,190,15,53286,The Tselim / Dekel,Collect and download,The Tselim / Hikinton,265,4140,9.316666603,35.091738,32.647835,Yokneam Illith,The Tselim,73
Superbus,The valleys,Yokneam,190,1,0,190,16,53287,The Tselim / Hikinton,Collect and download,Tselim / Arava,415,4555,10.14999962,35.095339,32.649953,Yokneam Illith,The Tselim,51
Superbus,The valleys,Yokneam,190,1,0,190,17,53237,Tselim / Arava,Collect and download,The Tselim / Pines,230,4785,10.86666679,35.097355,32.651145,Yokneam Illith,The Tselim,39
Superbus,The valleys,Yokneam,190,1,0,190,18,53448,The Tselim / Pines,Collect and download,Tselim / Dudaim,231,5016,11.1833334,35.099514,32.652094,Yokneam Illith,The Tselim,-
Superbus,The valleys,Yokneam,190,1,0,190,19,53128,Tselim / Dudaim,Collect and download,Downtown / ORT High School,247,5263,11.76666641,35.10201,32.652723,Yokneam Illith,The Tselim,-
Superbus,The valleys,Yokneam,190,1,0,190,20,59597,Downtown / ORT High School,Collect and download,The Date / Heroes,368,5631,12.5666666,35.104705,32.654495,Yokneam Illith,Hayovel Boulevard,-
Superbus,The valleys,Yokneam,190,1,0,190,21,52626,The Date / Heroes,Collect and download,The date / bell,210,5841,13.48333359,35.105541,32.65588,Yokneam Illith,The date,-
Superbus,The valleys,Yokneam,190,1,0,190,22,52258,The date / bell,Collect and download,Yokneam Illit Junction,375,6216,14.3166666,35.106778,32.658907,Yokneam Illith,The date,-
Superbus,The valleys,Yokneam,190,1,0,190,23,52256,Yokneam Illit Junction,Collect and download,Yokneam Moshava Junction,394,6610,15.64999962,35.105354,32.661879,Yokneam Illith,70,-
Superbus,The valleys,Yokneam,190,1,0,190,24,55521,Yokneam Moshava Junction,Collect and download,Hatishbi Junction,741,7351,16.46666718,35.108573,32.667845,Yokneam Illith,70,-
Superbus,The valleys,Yokneam,190,1,0,190,25,53245,Hatishbi Junction,Collect and download,Kfar Yehoshua Junction,671,8022,17.66666603,35.109535,32.673213,Yokneam Illith,722,-
Superbus,The valleys,Yokneam,190,1,0,190,26,52729,Kfar Yehoshua Junction,Collect and download,Sde Yaakov branch,1727,9749,18.56666756,35.122992,32.683796,Jezreel Valley,722,-
Superbus,The valleys,Yokneam,190,1,0,190,27,53560,Sde Yaakov branch,Collect and download,Yeshivat Tikvat Yaakov,2422,12171,20.58333397,35.135028,32.702357,Jezreel Valley,722,-
Superbus,The valleys,Yokneam,190,1,0,190,28,52374,Yeshivat Tikvat Yaakov,Collect and download,Hashomerim Junction,274,12445,20.86666679,35.135428,32.70464,Jezreel Valley,722,-
Superbus,The valleys,Yokneam,190,1,0,190,29,43024,Hashomerim Junction,Collect and download,Kiryat Amal Junction,640,13085,21.60000038,35.136,32.709856,Jezreel Valley,75,-
Superbus,The valleys,Yokneam,190,1,0,190,30,43025,Kiryat Amal Junction,Collect and download,Kiryat Tivon Junction,573,13658,22.10000038,35.130766,32.711694,Kiryat Tiv'on,75,-
Superbus,The valleys,Yokneam,190,1,0,190,31,47051,Kiryat Tivon Junction,Collect and download,Kiryat Tivon / Alonim Junction,472,14130,22.60000038,35.125753,32.712027,Kiryat Tiv'on,75,-
Superbus,The valleys,Yokneam,190,1,0,190,32,41550,Kiryat Tivon / Alonim Junction,Collect and download,Oaks / Pomegranates,94,14224,22.88333321,35.125251,32.712488,Kiryat Tiv'on,The oaks,-
Superbus,The valleys,Yokneam,190,1,0,190,33,41640,Oaks / Pomegranates,Collect and download,Oaks / White Alley,303,14527,23.63333321,35.124775,32.715177,Kiryat Tiv'on,The oaks,-
Superbus,The valleys,Yokneam,190,1,0,190,34,40918,Oaks / White Alley,Collect and download,Pomegranate school,397,14924,24.46666718,35.126569,32.716866,Kiryat Tiv'on,The oaks,24
Superbus,The valleys,Yokneam,190,1,0,190,35,40919,Pomegranate school,Collect and download,Oaks / pool,233,15157,25,35.128895,32.71703,Kiryat Tiv'on,The oaks,46
Superbus,The valleys,Yokneam,190,1,0,190,36,40920,Oaks / pool,Collect and download,Alonim / Ben Gurion Square,220,15377,25.48333359,35.129594,32.718814,Kiryat Tiv'on,The oaks,64
Superbus,The valleys,Yokneam,190,1,0,190,37,40922,Alonim / Ben Gurion Square,Collect and download,Alonim / Ben Gurion Square,399,15776,26.35000038,35.130334,32.722097,Kiryat Tiv'on,Ben Gurion Square,-
Superbus,The valleys,Yokneam,190,1,0,190,38,40927,Alonim / Ben Gurion Square,Collect and download,Oaks / pool,637,16413,27.75,35.130373,32.722245,Kiryat Tiv'on,Ben Gurion Square,1
Superbus,The valleys,Yokneam,190,1,0,190,39,41687,Oaks / pool,Collect and download,Pomegranate school,350,16763,28.5,35.129377,32.71937,Kiryat Tiv'on,The oaks,67
Superbus,The valleys,Yokneam,190,1,0,190,40,47052,Pomegranate school,Collect and download,Oaks / White Alley,363,17126,29.29999924,35.128222,32.716721,Kiryat Tiv'on,The oaks,43
Superbus,The valleys,Yokneam,190,1,0,190,41,40921,Oaks / White Alley,Collect and download,Oaks / Pomegranates,254,17380,29.85000038,35.125656,32.717201,Kiryat Tiv'on,The oaks,23
Superbus,The valleys,Yokneam,190,1,0,190,42,40917,Oaks / Pomegranates,Collect and download,Kiryat Tivon / Alonim Junction,212,17592,30.31666756,35.124468,32.715946,Kiryat Tiv'on,The oaks,3
Superbus,The valleys,Yokneam,190,1,0,190,43,40916,Kiryat Tivon / Alonim Junction,Collect and download,Valley Gate,367,17959,31.11666679,35.125122,32.712735,Kiryat Tiv'on,The oaks,-
Superbus,The valleys,Yokneam,190,1,0,190,44,40553,Valley Gate,Collect and download,The Valleys Interchange / Elroy,1904,19863,32.78333282,35.111633,32.721388,Zebulun,75,-
Superbus,The valleys,Yokneam,190,1,0,190,45,43269,The Valleys Interchange / Elroy,Collect and download,The Valleys Interchange / Jalama,1153,21016,33.75,35.101519,32.723457,Zebulun,75,-
Superbus,The valleys,Yokneam,190,1,0,190,46,43265,The Valleys Interchange / Jalama,Collect and download,Yagur / Kfar Hasidim,332,21348,34.03333282,35.098344,32.724503,Zebulun,75,-
Superbus,The valleys,Yokneam,190,1,0,190,47,40320,Yagur / Kfar Hasidim,Collect and download,Yagur Interchange,3130,24478,36.11666489,35.078818,32.746748,Zebulun,70/75,-
Superbus,The valleys,Yokneam,190,1,0,190,48,43094,Yagur Interchange,Collect and download,Nesher Sports Center,1269,25747,37.68333435,35.069797,32.752509,Zebulun,752,-
Superbus,The valleys,Yokneam,190,1,0,190,49,46955,Nesher Sports Center,Collect and download,Eagle Stadium,1654,27401,39.08333206,35.057342,32.760265,Nesher,752,-
Superbus,The valleys,Yokneam,190,1,0,190,50,40345,Eagle Stadium,Collect and download,Derech Moshe / Hashalom,763,28164,39.54999924,35.052706,32.765907,Nesher,Through Bar Yehuda,-
Superbus,The valleys,Yokneam,190,1,0,190,51,43072,Derech Moshe / Hashalom,Collect and download,Derech Hashalom / Tel Hanan Center,404,28568,40.31666565,35.050333,32.768089,Nesher,Through Moses,-
Superbus,The valleys,Yokneam,190,1,0,190,52,43038,Derech Hashalom / Tel Hanan Center,Collect and download,Through Bar Yehuda / The Creation,414,28982,41.48333359,35.047221,32.770237,Nesher,HaShalom road,11
Superbus,The valleys,Yokneam,190,1,0,190,53,43013,Through Bar Yehuda / The Creation,Collect and download,Bar Yehuda / Yeshurun,488,29470,42.73333359,35.044884,32.773404,Nesher,Through Bar Yehuda,2
Superbus,The valleys,Yokneam,190,1,0,190,54,42987,Bar Yehuda / Yeshurun,Collect and download,Bar Yehuda / The Locksmith,203,29673,42.88333511,35.043237,32.774598,Nesher,Through Bar Yehuda,-
Superbus,The valleys,Yokneam,190,1,0,190,55,43071,Bar Yehuda / The Locksmith,Collect and download,Bar Yehuda / Steel,441,30114,44.04999924,35.03975,32.777272,Nesher,Through Bar Yehuda,-
Superbus,The valleys,Yokneam,190,1,0,190,56,43068,Bar Yehuda / Steel,Collect and download,Bar Yehuda / The Marble,325,30439,45.01666641,35.037187,32.779245,Nesher,Through Bar Yehuda,143
Superbus,The valleys,Yokneam,190,1,0,190,57,40352,Bar Yehuda / The Marble,Collect and download,Derech Israel Bar Yehuda,412,30851,45.78333282,35.033914,32.781717,Nesher,Through Bar Yehuda,139
Superbus,The valleys,Yokneam,190,1,0,190,58,41471,Derech Israel Bar Yehuda,Collect and download,Check Post,393,31244,46.13333511,35.031291,32.78445,Haifa,Derech Israel Bar Yehuda,-
Superbus,The valleys,Yokneam,190,1,0,190,59,41525,Check Post,Collect and download,Lev Hamifratz / Histadrut Mall,500,31744,47.25,35.028313,32.788197,Haifa,Derech Israel Bar Yehuda,-
Superbus,The valleys,Yokneam,190,1,0,190,60,41476,Lev Hamifratz / Histadrut Mall,Collect and download,Refineries / Histadrut Boulevard,1213,32957,51.23333359,35.038897,32.793252,Haifa,Histadrut Boulevard,-
Superbus,The valleys,Yokneam,190,1,0,190,61,42989,Refineries / Histadrut Boulevard,Collect and download,Gulf Outdoor Shopping Center,880,33837,52.25,35.046924,32.797379,Haifa,Histadrut Boulevard,116
Superbus,The valleys,Yokneam,190,1,0,190,62,41477,Gulf Outdoor Shopping Center,Collect and download,Breast. The Histadrut / Arie Shenkar,1326,35163,54.96666718,35.056547,32.805826,Haifa,Histadrut Boulevard,-
Superbus,The valleys,Yokneam,190,1,0,190,63,42938,Breast. The Histadrut / Arie Shenkar,Collect and download,The pioneers of industry / c. Kiryat Ata,687,35850,55.98333359,35.063541,32.807637,Haifa,Histadrut Boulevard,-
Superbus,The valleys,Yokneam,190,1,0,190,64,42140,The pioneers of industry / c. Kiryat Ata,Collect and download,Industrial / Deaf Pioneers,1202,37052,58.76666641,35.069147,32.810999,Haifa,The pioneers of the industry,-
Superbus,The valleys,Yokneam,190,1,0,190,65,42203,Industrial / Deaf Pioneers,Collect and download,Industrial Pioneers / Shenkar,416,37468,59.93333435,35.065344,32.812713,Haifa,The pioneers of the industry,28
Superbus,The valleys,Yokneam,190,1,0,190,66,42735,Industrial Pioneers / Shenkar,Collect and download,The pioneers of the industry,357,37825,60.71666718,35.062152,32.814466,Haifa,The pioneers of the industry,60
Superbus,The valleys,Yokneam,190,1,0,190,67,47550,The pioneers of the industry,Collect and download,Alexander Zaid,119,37944,61.31666565,35.061638,32.815317,Haifa,Arie Shenkar,-
Superbus,The valleys,Yokneam,190,1,0,190,68,41334,Alexander Zaid,Collect and download,The stadium,468,38412,62.33333206,35.061621,32.819498,Haifa,Arie Shenkar,-
Superbus,The valleys,Yokneam,190,1,0,190,69,47521,The stadium,Download Only,-,517,38929,63.46666718,35.058932,32.823167,Haifa,Arie Shenkar,-
Superbus,The valleys,Yokneam,190,2,0,190,1,47520,The stadium,Collect only,Alexander Zaid,0,0,0,35.058902,32.823085,Haifa, ,-
Superbus,The valleys,Yokneam,190,2,0,190,2,42411,Alexander Zaid,Collect and download,The pioneers of the industry,687,687,1.516666651,35.06163,32.818497,Haifa,Arie Shenkar,-
Superbus,The valleys,Yokneam,190,2,0,190,3,47522,The pioneers of the industry,Collect and download,Histadrut / Kiryat Ata Junction,345,1032,2.266666651,35.061543,32.815384,Haifa,Arie Shenkar,-
Superbus,The valleys,Yokneam,190,2,0,190,4,40273,Histadrut / Kiryat Ata Junction,Collect and download,The Histadrut / Shenkar,965,1997,5.150000095,35.068849,32.810073,Haifa,Histadrut Boulevard,255
Superbus,The valleys,Yokneam,190,2,0,190,5,41291,The Histadrut / Shenkar,Collect and download,Bay Streets,714,2711,6.633333206,35.062037,32.807448,Haifa,Histadrut Boulevard,-
Superbus,The valleys,Yokneam,190,2,0,190,6,41292,Bay Streets,Collect and download,Refineries / Histadrut Boulevard,483,3194,7.116666794,35.057074,32.806252,Haifa,Histadrut Boulevard,-
Superbus,The valleys,Yokneam,190,2,0,190,7,40278,Refineries / Histadrut Boulevard,Collect and download,Lev Hamifratz Mall,1512,4706,10.53333378,35.045648,32.796896,Haifa,Histadrut Boulevard,111
Superbus,The valleys,Yokneam,190,2,0,190,8,42315,Lev Hamifratz Mall,Collect and download,Check Post,755,5461,11.36666679,35.038748,32.793388,Haifa,Histadrut Boulevard,-
Superbus,The valleys,Yokneam,190,2,0,190,9,43075,Check Post,Collect and download,bar yehoda,1265,6726,13.96666622,35.028205,32.788102,Haifa,Derech Israel Bar Yehuda,-
Superbus,The valleys,Yokneam,190,2,0,190,10,43074,bar yehoda,Collect and download,Shopping center / Bar Yehuda Road,585,7311,14.98333359,35.031696,32.783723,Nesher,Through Bar Yehuda,-
Superbus,The valleys,Yokneam,190,2,0,190,11,43043,Shopping center / Bar Yehuda Road,Collect and download,Bar Yehuda / Steel,453,7764,15.73333359,35.034999,32.780778,Nesher,Through Bar Yehuda,-
Superbus,The valleys,Yokneam,190,2,0,190,12,43067,Bar Yehuda / Steel,Collect and download,Bar Yehuda Road / Defense,425,8189,16.46666718,35.038347,32.778191,Nesher,Through Bar Yehuda,-
Superbus,The valleys,Yokneam,190,2,0,190,13,43064,Bar Yehuda Road / Defense,Collect and download,Bar Yehuda / Yeshurun,273,8462,17.06666756,35.040505,32.776541,Nesher,Through Bar Yehuda,56
Superbus,The valleys,Yokneam,190,2,0,190,14,43042,Bar Yehuda / Yeshurun,Collect and download,Derech Hashalom / Peretz,353,8815,17.71666718,35.043302,32.774408,Nesher,Through Bar Yehuda,-
Superbus,The valleys,Yokneam,190,2,0,190,15,43005,Derech Hashalom / Peretz,Collect and download,Derech Hashalom / Barak,400,9215,18.64999962,35.045304,32.771852,Nesher,HaShalom road,14
Superbus,The valleys,Yokneam,190,2,0,190,16,43039,Derech Hashalom / Barak,Collect and download,Bar Yehuda / Derech Moshe,389,9604,19.5,35.048145,32.76937,Nesher,HaShalom road,32
Superbus,The valleys,Yokneam,190,2,0,190,17,43036,Bar Yehuda / Derech Moshe,Collect and download,Eagle Stadium,370,9974,20.60000038,35.051137,32.767939,Nesher,Through Bar Yehuda,-
Superbus,The valleys,Yokneam,190,2,0,190,18,40362,Eagle Stadium,Collect and download,sport Center,294,10268,21.23333359,35.052739,32.765668,Nesher,752,-
Superbus,The valleys,Yokneam,190,2,0,190,19,46204,sport Center,Collect and download,Yagur Interchange,867,11135,22.06666756,35.058064,32.759292,Zebulun,752,-
Superbus,The valleys,Yokneam,190,2,0,190,20,40322,Yagur Interchange,Collect and download,Yagur / Kfar Hasidim,1747,12882,23.5,35.071582,32.752198,Zebulun,70,-
Superbus,The valleys,Yokneam,190,2,0,190,21,43137,Yagur / Kfar Hasidim,Collect and download,The Valleys Interchange / Jalama,887,13769,24.25,35.078521,32.746783,Zebulun,70/75,-
Superbus,The valleys,Yokneam,190,2,0,190,22,41524,The Valleys Interchange / Jalama,Collect and download,The Valleys Interchange / Elroy,3347,17116,26.85000038,35.099974,32.723793,Zebulun,75,-
Superbus,The valleys,Yokneam,190,2,0,190,23,43270,The Valleys Interchange / Elroy,Collect and download,Valley Gate,330,17446,27.11666679,35.103236,32.722857,Zebulun,75,-
Superbus,The valleys,Yokneam,190,2,0,190,24,40554,Valley Gate,Collect and download,Kiryat Tivon / Alonim Junction,1035,18481,27.93333244,35.112401,32.721531,Zebulun,75,-
Superbus,The valleys,Yokneam,190,2,0,190,25,41550,Kiryat Tivon / Alonim Junction,Collect and download,Oaks / Pomegranates,1862,20343,29.70000076,35.125251,32.712488,Kiryat Tiv'on,The oaks,-
Superbus,The valleys,Yokneam,190,2,0,190,26,41640,Oaks / Pomegranates,Collect and download,Oaks / White Alley,303,20646,30.45000076,35.124775,32.715177,Kiryat Tiv'on,The oaks,-
Superbus,The valleys,Yokneam,190,2,0,190,27,40918,Oaks / White Alley,Collect and download,Pomegranate school,397,21043,31.28333282,35.126569,32.716866,Kiryat Tiv'on,The oaks,24
Superbus,The valleys,Yokneam,190,2,0,190,28,40919,Pomegranate school,Collect and download,Oaks / pool,233,21276,31.81666756,35.128895,32.71703,Kiryat Tiv'on,The oaks,46
Superbus,The valleys,Yokneam,190,2,0,190,29,40920,Oaks / pool,Collect and download,Alonim / Ben Gurion Square,220,21496,32.29999924,35.129594,32.718814,Kiryat Tiv'on,The oaks,64
Superbus,The valleys,Yokneam,190,2,0,190,30,40922,Alonim / Ben Gurion Square,Collect and download,Alonim / Ben Gurion Square,399,21895,33.16666794,35.130334,32.722097,Kiryat Tiv'on,Ben Gurion Square,-
Superbus,The valleys,Yokneam,190,2,0,190,31,40927,Alonim / Ben Gurion Square,Collect and download,Oaks / pool,637,22532,34.56666565,35.130373,32.722245,Kiryat Tiv'on,Ben Gurion Square,1
Superbus,The valleys,Yokneam,190,2,0,190,32,41687,Oaks / pool,Collect and download,Pomegranate school,350,22882,35.31666565,35.129377,32.71937,Kiryat Tiv'on,The oaks,67
Superbus,The valleys,Yokneam,190,2,0,190,33,47052,Pomegranate school,Collect and download,Oaks / White Alley,363,23245,36.11666489,35.128222,32.716721,Kiryat Tiv'on,The oaks,43
Superbus,The valleys,Yokneam,190,2,0,190,34,40921,Oaks / White Alley,Collect and download,Oaks / Pomegranates,254,23499,36.66666794,35.125656,32.717201,Kiryat Tiv'on,The oaks,23
Superbus,The valleys,Yokneam,190,2,0,190,35,40917,Oaks / Pomegranates,Collect and download,Kiryat Tivon / Alonim Junction,212,23711,37.13333511,35.124468,32.715946,Kiryat Tiv'on,The oaks,3
Superbus,The valleys,Yokneam,190,2,0,190,36,40916,Kiryat Tivon / Alonim Junction,Collect and download,Kiryat Tivon Junction,367,24078,37.93333435,35.125122,32.712735,Kiryat Tiv'on,The oaks,-
Superbus,The valleys,Yokneam,190,2,0,190,37,43029,Kiryat Tivon Junction,Collect and download,Kiryat Amal Junction,144,24222,38.59999847,35.125712,32.711899,Kiryat Tiv'on,75,-
Superbus,The valleys,Yokneam,190,2,0,190,38,43023,Kiryat Amal Junction,Collect and download,Yeshivat Tikvat Yaakov,474,24696,39.09999847,35.130743,32.71156,Kiryat Tiv'on,75,-
Superbus,The valleys,Yokneam,190,2,0,190,39,56338,Yeshivat Tikvat Yaakov,Collect and download,Sde Yaakov branch,1318,26014,40.41666794,35.135177,32.703518,Jezreel Valley,722,-
Superbus,The valleys,Yokneam,190,2,0,190,40,51532,Sde Yaakov branch,Collect and download,Kfar Yehoshua Junction,392,26406,40.84999847,35.134725,32.700295,Jezreel Valley,722,-
Superbus,The valleys,Yokneam,190,2,0,190,41,53541,Kfar Yehoshua Junction,Collect and download,Hatishbi Junction,2331,28737,42.65000153,35.121931,32.682763,Jezreel Valley,722,-
Superbus,The valleys,Yokneam,190,2,0,190,42,51531,Hatishbi Junction,Collect and download,Yokneam / Moshava Junction,1835,30572,44.58333206,35.107817,32.671848,Yokneam Illith,70,-
Superbus,The valleys,Yokneam,190,2,0,190,43,52656,Yokneam / Moshava Junction,Collect and download,The date / fig,584,31156,45.28333282,35.107994,32.666642,Yokneam Illith,70,-
Superbus,The valleys,Yokneam,190,2,0,190,44,52255,The date / fig,Collect and download,Downtown / ORT High School,1100,32256,47.46666718,35.106661,32.658228,Yokneam Illith,The date,-
Superbus,The valleys,Yokneam,190,2,0,190,45,54223,Downtown / ORT High School,Collect and download,Tselim / HaShikma,484,32740,48.96666718,35.104774,32.654568,Yokneam Illith,Hayovel Boulevard,-
Superbus,The valleys,Yokneam,190,2,0,190,46,52631,Tselim / HaShikma,Collect and download,The Tselim / Pines,305,33045,49.71666718,35.102564,32.653133,Yokneam Illith,The Tselim,9
Superbus,The valleys,Yokneam,190,2,0,190,47,53430,The Tselim / Pines,Collect and download,The Tselim / Hikinton,390,33435,50.56666565,35.098781,32.651881,Yokneam Illith,The Tselim,35
Superbus,The valleys,Yokneam,190,2,0,190,48,53455,The Tselim / Hikinton,Collect and download,The Tselim / Dekel,476,33911,51.59999847,35.094593,32.649468,Yokneam Illith,The Tselim,40
Superbus,The valleys,Yokneam,190,2,0,190,49,53456,The Tselim / Dekel,Collect and download,The Tselim / Arava,333,34244,52.33333206,35.091669,32.647805,Yokneam Illith,The Tselim,73
Superbus,The valleys,Yokneam,190,2,0,190,50,59591,The Tselim / Arava,Collect and download,Tselim / Rabin,366,34610,53.13333511,35.089936,32.645152,Yokneam Illith,The Tselim,70
Superbus,The valleys,Yokneam,190,2,0,190,51,53431,Tselim / Rabin,Collect and download,Big Center / Odem Forest,198,34808,53.56666565,35.090735,32.643531,Yokneam Illith,The Tselim,-
Superbus,The valleys,Yokneam,190,2,0,190,52,53436,Big Center / Odem Forest,Collect and download,Tidhar School / Odem Forest,170,34978,53.93333435,35.091698,32.642381,Yokneam Illith,Ruby forest,-
Superbus,The valleys,Yokneam,190,2,0,190,53,59589,Tidhar School / Odem Forest,Collect and download,Commercial Center / Odem Forest,693,35671,55.45000076,35.091405,32.638187,Yokneam Illith,Ruby forest,-
Superbus,The valleys,Yokneam,190,2,0,190,54,53500,Commercial Center / Odem Forest,Collect and download,Odem Forest / Meron,208,35879,55.96666718,35.089505,32.637428,Yokneam Illith,Ruby forest,19
Superbus,The valleys,Yokneam,190,2,0,190,55,53501,Odem Forest / Meron,Collect and download,Yitzhak Rabin Blvd. / Odem Forest,371,36250,56.70000076,35.087082,32.637134,Yokneam Illith,Ruby forest,5
Superbus,The valleys,Yokneam,190,2,0,190,56,53502,Yitzhak Rabin Blvd. / Odem Forest,Collect and download,Jordan / Hasbani,149,36399,57.03333282,35.084861,32.637567,Yokneam Illith,Yitzhak Rabin Boulevard,-
Superbus,The valleys,Yokneam,190,2,0,190,57,53438,Jordan / Hasbani,Collect and download,Jordan / Banias,294,36693,57.66666794,35.084142,32.639466,Yokneam Illith,Jordan,-
Superbus,The valleys,Yokneam,190,2,0,190,58,53439,Jordan / Banias,Collect and download,Jordan / Dalyot,167,36860,58.03333282,35.083875,32.640806,Yokneam Illith,Jordan,-
Superbus,The valleys,Yokneam,190,2,0,190,59,53440,Jordan / Dalyot,Collect and download,Jordan / Sion,293,37153,58.68333435,35.086063,32.642333,Yokneam Illith,Jordan,-
Superbus,The valleys,Yokneam,190,2,0,190,60,53441,Jordan / Sion,Collect and download,Jordan / Sion,191,37344,59.09999847,35.086689,32.643876,Yokneam Illith,Jordan,43
Superbus,The valleys,Yokneam,190,2,0,190,61,53442,Jordan / Sion,Collect and download,Jordan / Strait,334,37678,59.81666565,35.087946,32.644427,Yokneam Illith,Jordan,15
Superbus,The valleys,Yokneam,190,2,0,190,62,53443,Jordan / Strait,Download Only,-,201,37879,60.26666641,35.089195,32.643343,Yokneam Illith,Jordan,-
Superbus,The valleys,Yokneam,191,1,0,191,1,59657,Landscape / exit,Collect only,Ramat Tivon Square,0,0,0,35.149558,32.754798,Scenic,The Galilee,16
Superbus,The valleys,Yokneam,191,1,0,191,2,41946,Ramat Tivon Square,Collect and download,Almonds / Ramat Hadassah,4255,4255,9.816666603,35.144964,32.731022,Kiryat Tiv'on,7515,-
Superbus,The valleys,Yokneam,191,1,0,191,3,40930,Almonds / Ramat Hadassah,Collect and download,The almonds / daisies,373,4628,10.63333321,35.143273,32.728178,Kiryat Tiv'on,The almonds,59
Superbus,The valleys,Yokneam,191,1,0,191,4,40931,The almonds / daisies,Collect and download,String School,302,4930,11.30000019,35.14031,32.727152,Kiryat Tiv'on,The almonds,37
Superbus,The valleys,Yokneam,191,1,0,191,5,40925,String School,Collect and download,Almonds / Cloves,360,5290,12.08333302,35.136931,32.725864,Kiryat Tiv'on,The almonds,26
Superbus,The valleys,Yokneam,191,1,0,191,6,40926,Almonds / Cloves,Collect and download,Alonim / Ben Gurion Square,401,5691,12.94999981,35.133703,32.723897,Kiryat Tiv'on,The almonds,3
Superbus,The valleys,Yokneam,191,1,0,191,7,40927,Alonim / Ben Gurion Square,Collect and download,Oaks / pool,392,6083,13.80000019,35.130373,32.722245,Kiryat Tiv'on,Ben Gurion Square,1
Superbus,The valleys,Yokneam,191,1,0,191,8,41687,Oaks / pool,Collect and download,Pomegranate school,350,6433,14.5666666,35.129377,32.71937,Kiryat Tiv'on,The oaks,67
Superbus,The valleys,Yokneam,191,1,0,191,9,47052,Pomegranate school,Collect and download,Oaks / White Alley,362,6795,15.36666679,35.128222,32.716721,Kiryat Tiv'on,The oaks,43
Superbus,The valleys,Yokneam,191,1,0,191,10,40921,Oaks / White Alley,Collect and download,Oaks / Pomegranates,255,7050,15.91666698,35.125656,32.717201,Kiryat Tiv'on,The oaks,23
Superbus,The valleys,Yokneam,191,1,0,191,11,40917,Oaks / Pomegranates,Collect and download,Kiryat Tivon / Alonim Junction,212,7262,16.38333321,35.124468,32.715946,Kiryat Tiv'on,The oaks,3
